factor,quantile,horizon_days,observations,avg_forward_return,median_forward_return,win_rate,max_drawdown,avg_excess_return
gap_pct,4,5,11761,0.008302795479563675,0.004651195456665924,0.5311623161295809,-0.9989479371674452,0.004491514745705213
gap_pct,5,5,12306,0.008464815757341182,0.0018903730206089042,0.5111327807573541,-0.9999958912803483,0.00465703706293715
gap_pct,1,10,12246,0.01727145032676407,0.007787198390491357,0.5354401437203985,-0.9999980728121861,0.009605090749338876
gap_pct,2,10,11665,0.01573254411666976,0.008746565770257009,0.5403343334762108,-0.9999907359243063,0.008029051493670253
gap_pct,3,10,12194,0.01475197334133031,0.009153720550401423,0.544694111858291,-0.999999491455381,0.0070747675809749435
gap_pct,4,10,11666,0.015997491104472288,0.007033098400122451,0.5311160637750728,-0.9999535351525556,0.008294745491156372
gap_pct,5,10,12206,0.020263016890423657,0.007902355678331752,0.5331804030804522,-0.9999999513143306,0.012565253108796906
gap_pct,1,20,12046,0.03330036198679732,0.012828799968659599,0.538020919807405,-0.9999999974275569,0.01800271770987896
gap_pct,2,20,11476,0.03462539795671439,0.018321672453859628,0.5590798187521785,-0.9999999948028333,0.019262360819359593
gap_pct,3,20,11994,0.02916244069585916,0.0151970951970678,0.5491912622978156,-0.9999999999890259,0.013853473745987468
gap_pct,4,20,11475,0.03313685278405628,0.013072581946576456,0.5441394335511982,-0.9999999994910194,0.017770693536913535
gap_pct,5,20,12006,0.044122240709019954,0.016798068956254242,0.5464767616191905,-0.9999999999988995,0.028775625631072253
relative_volume_eod,1,5,12346,0.0071859289929352265,0.00410512100161009,0.5251093471569739,-0.9978565587280257,0.003393379979071911
relative_volume_eod,2,5,11761,0.007922325639305169,0.005133736489805196,0.5382195391548338,-0.9932088933244134,0.004111044905446707
relative_volume_eod,3,5,12293,0.007534909502985441,0.0041835818646946965,0.5276986903115595,-0.9995728905261438,0.0037394340464860757
relative_volume_eod,4,5,11761,0.00919180615295627,0.004316188658182396,0.5320125839639487,-0.999775231374539,0.0053805254190978065
relative_volume_eod,5,5,12306,0.00971336004848945,0.003423857671445485,0.5199089874857793,-0.9995090847654775,0.005905581354085414
relative_volume_eod,1,10,12245,0.013752125823691237,0.005376320457997963,0.5229889750918743,-0.9999929840331195,0.006085057591147772
relative_volume_eod,2,10,11666,0.014917495295640744,0.007668657635396925,0.5381450368592491,-0.9999814517889078,0.007214749682324828
relative_volume_eod,3,10,12194,0.015028129848533902,0.008445598476057192,0.5385435460062326,-0.9999990740659814,0.0073509240881785365
relative_volume_eod,4,10,11666,0.019434549307443757,0.010201926437698239,0.5472312703583062,-0.9999973885164716,0.011731803694127843
