sample_id,policy_name,drawdown_start_replay_date,drawdown_end_replay_date,drawdown_depth,number_of_trades_in_drawdown,tickers_in_drawdown,themes_in_drawdown,worst_trade_in_drawdown,whether_overlay_excluded_worst_trade,whether_overlay_reduced_drawdown,whether_overlay_delayed_or_shifted_drawdown
8,overlay_theme_loss_cooldown_10pct_3,2025-09-25,2026-03-05,-0.4004942673814965,9,"CORZ,F,INTC,MRNA,NVAX,RIVN","EV / mobility,biotech,crypto-adjacent / high beta,semiconductor / hardware",2026-03-05 NVAX pnl=-15.81,False,,
8,overlay_theme_loss_cooldown_10pct_5,2025-09-25,2026-03-05,-0.35800278740090374,7,"CORZ,F,INTC,MRNA,NVAX,RIVN","EV / mobility,biotech,crypto-adjacent / high beta,semiconductor / hardware",2026-03-05 NVAX pnl=-16.94,False,,
8,overlay_theme_loss_cooldown_10pct_8,2025-09-25,2026-03-05,-0.3496824192293888,7,"CORZ,F,INTC,MRNA,NVAX,RIVN","EV / mobility,biotech,crypto-adjacent / high beta,semiconductor / hardware",2026-03-05 NVAX pnl=-18.07,False,,
8,overlay_ticker_loss_cooldown_5pct_5,2025-07-10,2026-03-05,-0.305405930202447,13,"CORZ,F,HPE,MRNA,NVAX,SOFI,XPEV","AI infrastructure,EV / mobility,biotech,crypto-adjacent / high beta,fintech",2026-03-05 NVAX pnl=-15.81,False,,
8,overlay_ticker_loss_cooldown_5pct_10,2025-07-10,2026-03-05,-0.32557077814314117,13,"CORZ,F,HPE,MRNA,NVAX,SOFI,XPEV","AI infrastructure,EV / mobility,biotech,crypto-adjacent / high beta,fintech",2026-03-05 NVAX pnl=-16.94,False,,
8,overlay_ticker_loss_cooldown_5pct_15,2025-07-10,2026-03-05,-0.32557077814314117,13,"CORZ,F,HPE,MRNA,NVAX,SOFI,XPEV","AI infrastructure,EV / mobility,biotech,crypto-adjacent / high beta,fintech",2026-03-05 NVAX pnl=-16.94,False,,
8,overlay_ticker_loss_cooldown_8pct_5,2025-07-10,2026-03-05,-0.3202720368110551,13,"CORZ,F,HPE,MRNA,NVAX,SOFI,XPEV","AI infrastructure,EV / mobility,biotech,crypto-adjacent / high beta,fintech",2026-03-05 NVAX pnl=-19.20,False,,
8,overlay_ticker_loss_cooldown_8pct_10,2025-07-10,2026-03-05,-0.3210524601339494,13,"CORZ,F,HPE,MRNA,NVAX,SOFI,XPEV","AI infrastructure,EV / mobility,biotech,crypto-adjacent / high beta,fintech",2026-03-05 NVAX pnl=-19.20,False,,
8,overlay_ticker_loss_cooldown_8pct_15,2025-07-10,2026-03-05,-0.3210524601339494,13,"CORZ,F,HPE,MRNA,NVAX,SOFI,XPEV","AI infrastructure,EV / mobility,biotech,crypto-adjacent / high beta,fintech",2026-03-05 NVAX pnl=-19.20,False,,
8,overlay_ticker_loss_cooldown_10pct_5,2025-07-10,2026-03-05,-0.335938298327621,13,"CORZ,F,INTC,JOBY,MRNA,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-05 NVAX pnl=-16.94,False,,
8,overlay_ticker_loss_cooldown_10pct_10,2025-07-10,2026-03-05,-0.335938298327621,13,"CORZ,F,INTC,JOBY,MRNA,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-05 NVAX pnl=-16.94,False,,
8,overlay_ticker_loss_cooldown_10pct_15,2025-07-10,2026-03-05,-0.335938298327621,13,"CORZ,F,INTC,JOBY,MRNA,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-05 NVAX pnl=-16.94,False,,
9,candidate34_frozen_baseline,2024-12-13,2025-05-27,-0.35949006982216214,6,"ACHR,F,KTOS,RXRX,SMR","EV / mobility,biotech,space / defense / nuclear",2025-05-27 SMR pnl=-11.83,False,,
9,candidate35_trend_quality_frozen,2025-09-26,2026-03-06,-0.3503724646392442,8,"CORZ,F,INTC,NVAX,RIVN,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,semiconductor / hardware",2026-03-06 NVAX pnl=-29.45,False,,
9,overlay_market_regime_risk_off_skip,2025-09-26,2026-03-06,-0.3550007931652105,8,"CORZ,F,INTC,NVAX,RIVN,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,semiconductor / hardware",2026-03-06 NVAX pnl=-37.38,False,,
