feature_name,sample_id,winner_count,loser_count,winner_mean,loser_mean,winner_median,loser_median,loser_minus_winner_mean,loser_minus_winner_median,simple_separation_score,missing_rate,notes
return_10d_prior,6,15,18,0.30189121414910713,0.35719155546855785,0.24581009307115642,0.20667566556265748,0.05530034131945072,-0.03913442750849894,0.15369518047897585,0.029411764705882353,return_10d_prior_higher_for_losers
return_20d_prior,6,15,19,0.384570800826549,0.38034399921481343,0.3119376568170664,0.3041203782737647,-0.004226801611735553,-0.00781727854330172,0.010330187562779142,0.0,return_20d_prior_lower_for_losers
max_single_day_loss_20d,6,14,17,-0.05916769321890088,-0.056316833010554034,-0.05847968315879576,-0.05124652303476873,0.0028508602083468434,0.007233160124027027,0.14124741199660024,0.08823529411764706,max_single_day_loss_20d_higher_for_losers
near_max_entry_price_pct,6,15,19,0.5671426626841228,0.4844936822590076,0.43200000762939456,0.4531999969482422,-0.08264898042511526,0.021199989318847645,0.3147064350072676,0.0,near_max_entry_price_pct_lower_for_losers
atr_pct,7,18,16,0.05232185923323591,0.057227096129201696,0.05160670693271038,0.05793746329076871,0.004905236895965788,0.006330756358058326,0.26907195641981624,0.0,atr_pct_higher_for_losers
volatility_20d,7,17,16,0.04625403167671839,0.05180857701417246,0.04655129161846557,0.053227166555013014,0.005554545337454073,0.006675874936547442,0.27016565629289174,0.029411764705882353,volatility_20d_higher_for_losers
entry_gap_pct,7,18,16,0.0027106094381362123,0.0013706437694977341,-0.003725926963126791,0.0071645677983360745,-0.0013399656686384782,0.010890494761462866,0.025663584613154846,0.0,entry_gap_pct_lower_for_losers
decision_strength,7,18,16,0.7190803788982146,0.6764894238861947,0.7410593389088012,0.6621516868800903,-0.042590955012019927,-0.07890765202871086,0.3788814988846317,0.0,decision_strength_lower_for_losers
smoke_score,7,18,16,0.9245073658121797,0.9098764313489007,0.9296825396825397,0.9083333333333333,-0.01463093446327901,-0.02134920634920634,0.3147080866468675,0.0,smoke_score_lower_for_losers
relative_volume_prev20,7,18,16,2.8853131019896656,2.763491035293283,2.6070575035532624,2.2651456439408912,-0.12182206669638251,-0.34191185961237114,0.10401916453211638,0.0,relative_volume_prev20_lower_for_losers
distance_from_20d_high_pct,7,18,16,-0.04001134289499854,-0.03248738575004854,-0.020532491286399668,-0.02404492267896552,0.007523957144950001,-0.0035124313925658512,0.16969206808575227,0.0,distance_from_20d_high_pct_higher_for_losers
distance_from_52w_high_pct,7,18,16,-0.051643152747277994,-0.10998024125287573,-0.016646125595473626,-0.10134980994455123,-0.05833708850559773,-0.0847036843490776,0.4148395093659786,0.0,distance_from_52w_high_pct_lower_for_losers
return_1d_prior,7,18,16,0.06317060490841402,0.0894313686924755,0.06065653847905472,0.042462766927801265,0.02626076378406149,-0.018193771551253457,0.30278249919520417,0.0,return_1d_prior_higher_for_losers
return_5d_prior,7,18,16,0.20030620645594738,0.19462610178339224,0.17389042744652095,0.17180833287699604,-0.005680104672555142,-0.002082094569524906,0.04595924017036058,0.0,return_5d_prior_lower_for_losers
return_10d_prior,7,18,16,0.26980790329480947,0.21015980365573197,0.20487041412417129,0.16351691349842568,-0.059648099639077495,-0.04135350062574561,0.33451979304327417,0.0,return_10d_prior_lower_for_losers
return_20d_prior,7,18,16,0.3737001365858819,0.3267184565590088,0.37876253585171504,0.181092817588417,-0.04698168002687314,-0.19766971826329804,0.13773050396003242,0.0,return_20d_prior_lower_for_losers
max_single_day_loss_20d,7,17,16,-0.05874721441280954,-0.061631870136839365,-0.0508671122683747,-0.055389551832854045,-0.002884655724029822,-0.004522439564479341,0.09198071151232685,0.029411764705882353,max_single_day_loss_20d_lower_for_losers
near_max_entry_price_pct,7,18,16,0.5640388870239258,0.3474624985456467,0.5145999908447265,0.28480000495910646,-0.2165763884782791,-0.22979998588562006,0.8143633393158393,0.0,near_max_entry_price_pct_lower_for_losers
atr_pct,8,17,19,0.057832726052534936,0.05665826912700804,0.05200189189456953,0.054079970101418316,-0.0011744569255268955,0.002078078206848785,0.06092184561735759,0.0,atr_pct_lower_for_losers
volatility_20d,8,16,18,0.0514578064278646,0.05774692858928668,0.04761593110740278,0.05962161925564412,0.006289122161422078,0.012005688148241336,0.2846855872168979,0.05555555555555555,volatility_20d_higher_for_losers
entry_gap_pct,8,17,19,-0.0007461643837867117,0.004999069227136204,0.006069448220553886,0.00562421092571741,0.005745233610922915,-0.0004452372948364758,0.19477121606317047,0.0,entry_gap_pct_higher_for_losers
decision_strength,8,17,19,0.7037003307334739,0.6824836763593494,0.7139935373335097,0.6914489602112889,-0.021216654374124566,-0.0225445771222208,0.1763843851806556,0.0,decision_strength_lower_for_losers
smoke_score,8,17,19,0.9282427839041301,0.9304203003246642,0.9290322580645162,0.9357142857142857,0.002177516420534098,0.006682027649769551,0.057240392727257484,0.0,smoke_score_higher_for_losers
relative_volume_prev20,8,17,19,2.7195138650145614,2.803533313499777,2.718798978858732,2.348279613707545,0.0840194484852157,-0.3705193651511869,0.06197198708856657,0.0,relative_volume_prev20_higher_for_losers
distance_from_20d_high_pct,8,17,19,-0.04948567267791796,-0.04035974710340246,-0.034436339229147905,-0.02234638794732735,0.009125925574515498,0.012089951281820555,0.20376680700636773,0.0,distance_from_20d_high_pct_higher_for_losers
